Airline.Status,Age,Gender,Price.Sensitivity,Flights.Per.Year,Loyalty,Type.of.Travel,Eating.and.Drinking.at.Airport,Class,Partner.Code,Origin.State,Destination.State,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Customer.Type
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,151orMore,Eco,OO,Utah,Texas,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Male,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,DL,Minnesota,Connecticut,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,US,New York,North Carolina,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Male,1,Frq_Fly,Negative,Business travel,50orLess,Eco,EV,Colorado,Nebraska,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,2,Frq_Fly,Negative,Business travel,50orLess,Eco Plus,EV,Georgia,Alabama,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,1,Frq_Fly,Negative,Business travel,50orLess,Eco,B6,Louisiana,New York,Short_Delay,No,Short_Flights,Passive
Blue,Old,Male,3,Non_Frq_Fly,Negative,Mileage tickets,50orLess,Eco,US,North Carolina,New York,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Nevada,Iowa,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Business,OO,Kentucky,Minnesota,Long_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco Plus,WN,California,Arizona,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,2,Non_Frq_Fly,Negative,Mileage tickets,151orMore,Eco,WN,Louisiana,Texas,Short_Delay,No,Long_Flights,Passive
Silver,Old,Male,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,EV,Texas,Tennessee,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Colorado,California,Short_Delay,No,Short_Flights,Promoter
Silver,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,WN,Missouri,Colorado,Long_Delay,No,Short_Flights,Passive
Blue,Old,Male,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,DL,Michigan,Florida,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Frq_Fly,Negative,Business travel,50orLess,Eco Plus,WN,Louisiana,Texas,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco Plus,DL,Alaska,Utah,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,50orLess,Eco,OO,California,California,Short_Delay,No,Long_Flights,Passive
Silver,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,EV,Georgia,Tennessee,Long_Delay,No,Long_Flights,Promoter
Silver,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,151orMore,Eco,DL,Georgia,Colorado,Short_Delay,No,Short_Flights,Passive
Blue,Old,Male,1,Frq_Fly,Negative,Personal Travel,151orMore,Eco Plus,FL,California,Georgia,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,EV,Texas,Texas,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,2,Frq_Fly,Positive,Personal Travel,151orMore,Eco,OO,Illinois,South Dakota,Short_Delay,No,Long_Flights,Detractor
Platinum,Old,Male,2,Frq_Fly,Positive,Business travel,50orLess,Eco,DL,Utah,New York,Short_Delay,No,Long_Flights,Promoter
Silver,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,OU,Illinois,Colorado,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,EV,Pennsylvania,Texas,Short_Delay,No,Short_Flights,Passive
Blue,Old,Male,1,Frq_Fly,Positive,Business travel,151orMore,Eco,WN,Oklahoma,Maryland,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,EV,Illinois,New York,Long_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,50orLess,Eco,DL,Georgia,Maryland,Short_Delay,No,Long_Flights,Promoter
Silver,Old,Male,1,Frq_Fly,Negative,Business travel,50orLess,Eco,AA,New York,Florida,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,MQ,Tennessee,Illinois,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,OO,California,Colorado,Long_Delay,No,Short_Flights,Passive
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,AA,Nevada,New York,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Louisiana,Nevada,Long_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,151orMore,Business,OO,California,Nevada,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,EV,Oklahoma,Texas,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,US,Arizona,Indiana,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Arizona,California,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,OU,Illinois,Colorado,Long_Delay,No,Short_Flights,Detractor
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,OU,Florida,California,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,0,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,WN,Texas,Texas,Short_Delay,No,Long_Flights,Passive
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco Plus,DL,Georgia,Florida,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,2,Frq_Fly,Negative,Personal Travel,151orMore,Eco,WN,Nevada,Arizona,Short_Delay,No,Long_Flights,Detractor
Silver,Old,Female,2,Frq_Fly,Positive,Business travel,50orLess,Eco Plus,VX,New York,California,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,151orMore,Eco Plus,OU,Illinois,Washington,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Frq_Fly,Positive,Business travel,151orMore,Eco,OO,Nevada,California,Short_Delay,No,Long_Flights,Passive
Silver,Old,Female,1,Frq_Fly,Negative,Business travel,151orMore,Eco,WN,Illinois,South Carolina,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,OU,Illinois,Virginia,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,1,Frq_Fly,Negative,Business travel,50orLess,Eco,DL,Utah,Indiana,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Non_Frq_Fly,Negative,Personal Travel,50orLess,Business,DL,Georgia,Virginia,Short_Delay,No,Long_Flights,Detractor
Gold,Old,Female,2,Frq_Fly,Positive,Business travel,50orLess,Eco,EV,North Carolina,Texas,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,EV,Texas,Texas,Short_Delay,No,Long_Flights,Detractor
Silver,Old,Male,1,Non_Frq_Fly,Positive,Business travel,50orLess,Business,WN,Rhode Island,Florida,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Male,1,Non_Frq_Fly,Negative,Business travel,151orMore,Eco,MQ,Pennsylvania,Illinois,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Positive,Business travel,50orLess,Eco,WN,Florida,Missouri,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,WN,Missouri,Arizona,Short_Delay,No,Short_Flights,Passive
Silver,Old,Male,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,WN,New York,Maryland,Long_Delay,No,Long_Flights,Promoter
Silver,Old,Female,2,Non_Frq_Fly,Positive,Mileage tickets,151orMore,Eco Plus,OU,California,Colorado,Short_Delay,No,Short_Flights,Passive
Gold,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,US,Virginia,Arizona,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Non_Frq_Fly,Positive,Mileage tickets,50orLess,Eco,B6,Florida,Massachusetts,Short_Delay,No,Short_Flights,Passive
Gold,Old,Male,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,DL,Georgia,Florida,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,DL,Minnesota,Pennsylvania,Short_Delay,No,Long_Flights,Passive
Blue,Old,Male,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,DL,Georgia,Utah,Short_Delay,No,Long_Flights,Promoter
Silver,Old,Female,1,Non_Frq_Fly,Positive,Business travel,151orMore,Business,WN,Arizona,Utah,Short_Delay,No,Long_Flights,Promoter
Silver,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,OO,California,Nevada,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco Plus,AS,Oregon,California,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Male,1,Frq_Fly,Negative,Business travel,151orMore,Business,WN,Arizona,California,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,1,Non_Frq_Fly,Positive,Personal Travel,151orMore,Eco,EV,Virginia,Rhode Island,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Non_Frq_Fly,Positive,Personal Travel,151orMore,Eco,WN,Illinois,Missouri,Short_Delay,Yes,Long_Flights,Detractor
Silver,Old,Female,1,Frq_Fly,Negative,Business travel,50orLess,Eco,US,North Carolina,New York,Short_Delay,No,Long_Flights,Promoter
Silver,Old,Male,2,Frq_Fly,Negative,Personal Travel,151orMore,Eco,WN,Colorado,Texas,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Male,1,Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Maryland,Texas,Short_Delay,Yes,Long_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Positive,Personal Travel,151orMore,Eco,DL,California,Utah,Long_Delay,No,Long_Flights,Detractor
Blue,Old,Female,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,OU,Florida,Texas,Short_Delay,Yes,Long_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,AA,Virginia,Florida,Long_Delay,No,Short_Flights,Passive
Silver,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,OU,Texas,Colorado,Short_Delay,No,Short_Flights,Detractor
Platinum,Old,Male,1,Non_Frq_Fly,Negative,Business travel,151orMore,Eco Plus,WN,Illinois,Arizona,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,2,Non_Frq_Fly,Negative,Mileage tickets,50orLess,Eco,DL,Florida,Massachusetts,Short_Delay,No,Short_Flights,Passive
Blue,Old,Male,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco Plus,OO,Ohio,Illinois,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco Plus,EV,Virginia,Connecticut,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,2,Frq_Fly,Negative,Business travel,50orLess,Business,AA,California,Nevada,Short_Delay,No,Long_Flights,Passive
Gold,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,EV,Oklahoma,Colorado,Long_Delay,No,Long_Flights,Promoter
Blue,Old,Female,2,Frq_Fly,Positive,Business travel,50orLess,Eco,US,North Carolina,Virginia,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Positive,Personal Travel,50orLess,Eco,OO,California,New Mexico,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,FL,Georgia,Florida,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,MQ,Indiana,Florida,Short_Delay,No,Short_Flights,Detractor
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Missouri,Louisiana,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,3,Frq_Fly,Negative,Personal Travel,50orLess,Eco,MQ,Illinois,Ohio,Long_Delay,No,Long_Flights,Detractor
Gold,Old,Female,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,DL,Florida,Georgia,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,50orLess,Eco Plus,OO,Indiana,Georgia,Short_Delay,No,Long_Flights,Promoter
Gold,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,WN,Texas,Texas,Long_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,OO,Utah,Montana,Short_Delay,No,Long_Flights,Passive
Silver,Old,Male,1,Non_Frq_Fly,Positive,Business travel,151orMore,Eco,DL,North Carolina,Georgia,Long_Delay,No,Long_Flights,Promoter
Blue,Old,Male,1,Frq_Fly,Negative,Mileage tickets,151orMore,Eco,DL,Arkansas,Georgia,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,151orMore,Eco,OO,Colorado,California,Short_Delay,No,Short_Flights,Promoter
Silver,Old,Male,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,EV,Texas,Texas,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,2,Frq_Fly,Negative,Mileage tickets,151orMore,Eco Plus,DL,Georgia,Maryland,Short_Delay,No,Long_Flights,Passive
Silver,Old,Female,1,Non_Frq_Fly,Positive,Personal Travel,50orLess,Eco,US,North Carolina,Pennsylvania,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Missouri,Colorado,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,AA,California,Nevada,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,2,Frq_Fly,Positive,Personal Travel,151orMore,Eco,WN,Colorado,California,Long_Delay,No,Short_Flights,Detractor
Silver,Old,Female,1,Frq_Fly,Negative,Business travel,151orMore,Eco Plus,OO,Missouri,California,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,151orMore,Business,WN,New York,Illinois,Short_Delay,No,Short_Flights,Promoter
Gold,Old,Female,2,Non_Frq_Fly,Negative,Personal Travel,151orMore,Eco,FL,Georgia,New York,Short_Delay,Yes,Long_Flights,Passive
Blue,Old,Male,2,Frq_Fly,Negative,Business travel,50orLess,Eco,US,Florida,North Carolina,Long_Delay,No,Long_Flights,Detractor
Gold,Old,Male,1,Frq_Fly,Negative,Mileage tickets,50orLess,Eco,OO,California,Utah,Short_Delay,No,Long_Flights,Passive
Silver,Old,Female,1,Non_Frq_Fly,Negative,Business travel,151orMore,Eco,WN,Missouri,Arizona,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,MQ,New York,Georgia,Short_Delay,Yes,Long_Flights,Passive
Silver,Old,Male,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,VX,Washington,California,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,2,Frq_Fly,Positive,Business travel,50orLess,Eco,MQ,Kansas,Illinois,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,B6,Massachusetts,New York,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,2,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,WN,Texas,Florida,Short_Delay,No,Short_Flights,Detractor
Gold,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,EV,Texas,Iowa,Long_Delay,No,Short_Flights,Detractor
Blue,Old,Male,1,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,DL,Wisconsin,Georgia,Long_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,151orMore,Eco,OO,Missouri,Texas,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Frq_Fly,Negative,Business travel,50orLess,Business,OU,Colorado,Virginia,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,AA,Oregon,Illinois,Short_Delay,No,Long_Flights,Promoter
Silver,Old,Female,1,Non_Frq_Fly,Negative,Business travel,151orMore,Business,OO,California,California,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Male,1,Frq_Fly,Negative,Business travel,50orLess,Business,OU,Florida,Colorado,Long_Delay,No,Long_Flights,Promoter
Blue,Old,Female,2,Frq_Fly,Negative,Business travel,50orLess,Eco,DL,Utah,Nevada,Short_Delay,No,Long_Flights,Promoter
Gold,Old,Female,1,Frq_Fly,Negative,Personal Travel,151orMore,Eco Plus,MQ,Iowa,Illinois,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Non_Frq_Fly,Positive,Business travel,151orMore,Eco,DL,Michigan,Wisconsin,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,151orMore,Eco,OO,California,Oregon,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,1,Frq_Fly,Positive,Mileage tickets,50orLess,Eco Plus,OU,Louisiana,California,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,151orMore,Eco,US,Minnesota,Arizona,Short_Delay,No,Short_Flights,Passive
Silver,Old,Female,1,Non_Frq_Fly,Positive,Business travel,50orLess,Business,EV,Colorado,Colorado,Short_Delay,No,Long_Flights,Passive
Gold,Old,Female,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,AA,Nevada,California,Short_Delay,No,Long_Flights,Passive
Blue,Old,Male,1,Frq_Fly,Positive,Business travel,50orLess,Eco,DL,Georgia,Tennessee,Short_Delay,No,Long_Flights,Promoter
Gold,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Business,US,Florida,North Carolina,Long_Delay,No,Long_Flights,Promoter
Blue,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,OO,Montana,Utah,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,OO,California,California,Short_Delay,No,Long_Flights,Passive
Blue,Old,Female,1,Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Georgia,Texas,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Non_Frq_Fly,Positive,Business travel,50orLess,Eco,B6,New York,Massachusetts,Short_Delay,No,Long_Flights,Passive
Silver,Old,Male,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,OU,Texas,California,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco Plus,DL,Indiana,Utah,Short_Delay,No,Long_Flights,Passive
Blue,Old,Male,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,MQ,Texas,Illinois,Long_Delay,No,Short_Flights,Detractor
Blue,Old,Female,2,Frq_Fly,Positive,Mileage tickets,50orLess,Eco,US,North Carolina,Pennsylvania,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Non_Frq_Fly,Negative,Personal Travel,151orMore,Eco,AS,California,Washington,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,1,Frq_Fly,Positive,Personal Travel,151orMore,Eco,WN,Texas,Texas,Short_Delay,No,Long_Flights,Detractor
Silver,Old,Female,1,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,US,Pennsylvania,Colorado,Short_Delay,No,Long_Flights,Passive
Silver,Old,Female,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,AS,Washington,Alaska,Short_Delay,No,Short_Flights,Promoter
Gold,Old,Female,1,Non_Frq_Fly,Negative,Business travel,151orMore,Eco,AA,Pennsylvania,Florida,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,1,Frq_Fly,Negative,Personal Travel,151orMore,Eco,OU,Texas,Texas,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,1,Non_Frq_Fly,Positive,Mileage tickets,50orLess,Eco Plus,AS,Alaska,Washington,Short_Delay,No,Short_Flights,Promoter
Blue,Old,Female,2,Non_Frq_Fly,Negative,Personal Travel,50orLess,Eco,OU,Connecticut,Virginia,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,1,Frq_Fly,Negative,Personal Travel,50orLess,Eco,WN,Texas,Missouri,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Male,1,Frq_Fly,Negative,Business travel,50orLess,Eco,WN,Texas,Texas,Short_Delay,No,Long_Flights,Passive
Gold,Old,Male,2,Frq_Fly,Negative,Personal Travel,50orLess,Eco,OO,Minnesota,Minnesota,Short_Delay,No,Long_Flights,Detractor
Blue,Old,Female,2,Non_Frq_Fly,Negative,Business travel,50orLess,Eco,OO,Missouri,Colorado,Short_Delay,No,Long_Flights,Promoter
Blue,Old,Male,2,Non_Frq_Fly,Negative,Business travel,151orMore,Eco,F9,Colorado,Utah,Short_Delay,No,Long_Flights,Detractor
Gold,Old,Female,1,Non_Frq_Fly,Negative,Mileage tickets,50orLess,Eco,WN,Texas,Arizona,Short_Delay,No,Short_Flights,Detractor
Platinum,Old,Male,2,Frq_Fly,Positive,Business travel,50orLess,Business,OU,California,Colorado,Short_Delay,No,Short_Flights,Passive
Blue,Old,Female,2,Non_Frq_Fly,Positive,Personal Travel,151orMore,Eco,US,New York,Massachusetts,Short_Delay,Yes,Long_Flights,Passive
Blue,Old,Female,2,Frq_Fly,Positive,Mileage tickets,50orLess,Eco Plus,AS,Washington,Alaska,Short_Delay,No,Short_Flights,Passive
