"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"26","San Francisco, CA","Los Angeles, CA","Silver",28,"Female",1,2010,12,0.5636,"Personal Travel",2,1,120,"Eco",16,"2/16/14","WN","Cheapseats Airlines Inc.","California","California",9,0,0,"No",56,337,9,-118.1043,33.9827,-122.1585,37.6712,NA
"27","Miami, FL","Los Angeles, CA","Blue",15,"Male",2,2005,15,-0.3636,"Business travel",1,0,5,"Eco",27,"2/27/14","AA","Paul Smith Airlines Inc.","California","Florida",11,0,0,"No",233,2342,8,-118.1043,33.9827,-80.2314,26.1756,NA
"28","Las Vegas, NV","New York, NY","Blue",69,"Female",1,2003,26,-0.6774,"Personal Travel",0,0,30,"Eco",31,"1/31/14","AA","Paul Smith Airlines Inc.","New York","Nevada",6,0,38,"No",361,2248,3,-73.9702,40.7184,-115.1672,36.1349,NA
"29","Memphis, TN","Los Angeles, CA","Blue",63,"Male",1,2003,15,-0.5789,"Personal Travel",0,30,60,"Eco",6,"2/6/14","DL","Sigma Airlines Inc.","California","Tennessee",11,42,14,"No",169,1619,2,-118.1043,33.9827,-89.9179,35.0951,NA
"30","Miami, FL","Boston, MA","Blue",29,"Female",1,2009,5,0.7436,"Personal Travel",3,0,70,"Eco",2,"1/2/14","AA","Paul Smith Airlines Inc.","Massachusetts","Florida",11,111,158,"No",198,1258,4,-71.1407,42.3731,-80.2314,26.1756,NA
"31","Los Angeles, CA","Minneapolis, MN","Blue",80,"Female",2,2003,31,-0.5122,"Personal Travel",0,0,100,"Eco",26,"2/26/14","DL","Sigma Airlines Inc.","Minnesota","California",21,11,0,"No",203,1535,8,-93.2798,44.9782,-118.1043,33.9827,NA
"32","Phoenix, AZ","Denver, CO","Blue",44,"Female",1,2003,10,-0.0526,"Business travel",1,0,65,"Eco",10,"2/10/14","OU","Oursin Airlines Inc.","Colorado","Arizona",11,5,4,"No",88,602,10,-104.9551,39.7108,-111.97,33.4941,NA
"33","Houston, TX","Salt Lake City, UT","Blue",49,"Male",1,2006,18,-0.8,"Business travel",1,55,70,"Eco",6,"3/6/14","OO","Northwest Business Airlines Inc.","Utah","Texas",9,18,13,"No",146,1195,10,-111.9295,40.6408,-95.3935,29.7843,NA
"34","Hartford, CT","Minneapolis, MN","Blue",57,"Male",1,2005,65,-0.831,"Personal Travel",0,0,35,"Eco",18,"2/18/14","DL","Sigma Airlines Inc.","Minnesota","Connecticut",19,0,0,"No",119,1050,3,-93.2798,44.9782,-72.6988,41.7401,NA
"35","Charlotte, NC","New York, NY","Blue",31,"Female",1,2003,32,-0.4545,"Personal Travel",1,50,0,"Eco",10,"1/10/14","US","Southeast Airlines Co.","New York","North Carolina",6,0,0,"No",103,541,6,-73.9702,40.7184,-80.8158,35.2497,NA
"36","Lincoln, NE","Denver, CO","Blue",18,"Male",1,2005,60,-0.791,"Business travel",0,0,40,"Eco",24,"2/24/14","EV","FlyFast Airways Inc.","Colorado","Nebraska",9,10,10,"No",56,423,5,-104.9551,39.7108,-96.6804,40.8071,NA
"37","Dothan, AL","Atlanta, GA","Blue",34,"Female",2,2011,8,-0.7778,"Business travel",0,0,0,"Eco Plus",18,"3/18/14","EV","FlyFast Airways Inc.","Georgia","Alabama",19,0,0,"No",34,170,4,-84.3319,33.8241,-85.4251,31.2237,NA
"38","New York, NY","New Orleans, LA","Blue",48,"Male",1,2003,73,-0.8718,"Business travel",1,0,0,"Eco",23,"1/23/14","B6","OnlyJets Airlines Inc.","Louisiana","New York",10,11,5,"No",138,1182,8,-90.1437,29.9547,-73.9702,40.7184,NA
"39","New York, NY","Charlotte, NC","Blue",40,"Male",3,2003,17,-0.5455,"Mileage tickets",0,90,15,"Eco",28,"2/28/14","US","Southeast Airlines Co.","North Carolina","New York",11,0,0,"No",76,541,9,-80.8158,35.2497,-73.9702,40.7184,NA
"40","Des Moines, IA","Las Vegas, NV","Blue",50,"Male",1,2009,13,-0.4444,"Business travel",0,15,40,"Eco",19,"1/19/14","WN","Cheapseats Airlines Inc.","Nevada","Iowa",12,15,0,"No",145,1216,8,-115.1672,36.1349,-93.6561,41.6194,NA
"41","Minneapolis, MN","Cincinnati, OH","Blue",30,"Female",1,2005,25,-0.1905,"Business travel",1,90,0,"Business",13,"3/13/14","OO","Northwest Business Airlines Inc.","Kentucky","Minnesota",17,0,8,"No",114,596,8,-84.462,39.1855,-93.2798,44.9782,NA
"42","Phoenix, AZ","Los Angeles, CA","Blue",52,"Female",2,2007,14,-0.2727,"Business travel",0,0,155,"Eco Plus",4,"2/4/14","WN","Cheapseats Airlines Inc.","California","Arizona",16,0,0,"No",58,370,9,-118.1043,33.9827,-111.97,33.4941,NA
"43","Dallas, TX","New Orleans, LA","Blue",53,"Female",2,2008,13,-0.1304,"Mileage tickets",0,60,60,"Eco",14,"2/14/14","WN","Cheapseats Airlines Inc.","Louisiana","Texas",20,0,0,"No",69,436,8,-90.1437,29.9547,-96.972,32.8127,NA
"44","Memphis, TN","Houston, TX","Silver",53,"Male",2,2007,27,-0.4595,"Personal Travel",0,30,40,"Eco",10,"1/10/14","EV","FlyFast Airways Inc.","Texas","Tennessee",14,0,0,"No",64,468,4,-95.3935,29.7843,-89.9179,35.0951,NA
"45","San Francisco, CA","Denver, CO","Blue",54,"Male",2,2012,12,-0.2632,"Business travel",1,120,30,"Eco",27,"1/27/14","WN","Cheapseats Airlines Inc.","Colorado","California",12,29,44,"No",133,967,9,-104.9551,39.7108,-122.1585,37.6712,NA
"46","Denver, CO","St. Louis, MO","Silver",61,"Female",1,2012,12,-0.1429,"Personal Travel",0,120,120,"Eco",3,"2/3/14","WN","Cheapseats Airlines Inc.","Missouri","Colorado",6,0,7,"No",125,770,8,-90.3409,38.6307,-104.9551,39.7108,NA
"47","Tampa, FL","Detroit, MI","Blue",44,"Male",1,2011,12,0.1724,"Business travel",1,0,0,"Eco",1,"3/1/14","DL","Sigma Airlines Inc.","Michigan","Florida",20,2,48,"No",123,983,8,-83.2276,42.49,-82.5132,28.0062,NA
"48","Dallas, TX","New Orleans, LA","Blue",54,"Female",2,2003,30,-0.5789,"Business travel",0,0,20,"Eco Plus",9,"2/9/14","WN","Cheapseats Airlines Inc.","Louisiana","Texas",9,0,0,"No",70,436,8,-90.1437,29.9547,-96.972,32.8127,NA
"49","Salt Lake City, UT","Anchorage, AK","Blue",68,"Female",2,2003,36,-0.7143,"Personal Travel",0,0,20,"Eco Plus",10,"3/10/14","DL","Sigma Airlines Inc.","Alaska","Utah",5,0,0,"No",247,2125,6,-149.8472,61.1679,-111.9295,40.6408,NA
"50","Santa Barbara, CA","Los Angeles, CA","Blue",53,"Female",1,2006,9,-0.3846,"Business travel",0,0,45,"Eco",12,"1/12/14","OO","Northwest Business Airlines Inc.","California","California",12,0,0,"No",22,89,7,-118.1043,33.9827,-119.7241,34.4275,NA
"51","Chattanooga, TN","Atlanta, GA","Silver",36,"Male",1,2004,17,-0.1333,"Business travel",1,20,130,"Eco",4,"1/4/14","EV","FlyFast Airways Inc.","Georgia","Tennessee",11,89,84,"No",27,106,9,-84.3319,33.8241,-85.2104,35.0585,NA
"52","Denver, CO","Atlanta, GA","Silver",35,"Female",1,2006,18,-0.2414,"Personal Travel",1,100,70,"Eco",20,"2/20/14","DL","Sigma Airlines Inc.","Georgia","Colorado",12,0,0,"No",168,1199,7,-84.3319,33.8241,-104.9551,39.7108,NA
"53","Atlanta, GA","San Francisco, CA","Blue",76,"Male",1,2012,26,-0.8571,"Personal Travel",0,0,90,"Eco Plus",3,"3/3/14","FL","FlyHere Airways","California","Georgia",23,17,3,"No",234,2139,8,-122.1585,37.6712,-84.3319,33.8241,NA
"54","Houston, TX","El Paso, TX","Blue",36,"Female",1,2009,20,-0.2121,"Personal Travel",2,15,30,"Eco",26,"1/26/14","EV","FlyFast Airways Inc.","Texas","Texas",14,0,0,"No",85,667,2,-106.389,31.7802,-95.3935,29.7843,NA
"55","Sioux Falls, SD","Chicago, IL","Blue",16,"Male",2,2012,7,0.1765,"Personal Travel",3,0,70,"Eco",22,"2/22/14","OO","Northwest Business Airlines Inc.","Illinois","South Dakota",9,20,27,"No",82,462,5,-87.8954,41.8271,-96.7356,43.5335,NA
"56","New York, NY","Salt Lake City, UT","Platinum",39,"Male",2,2012,4,0.7419,"Business travel",2,240,120,"Eco",2,"1/2/14","DL","Sigma Airlines Inc.","Utah","New York",8,5,0,"No",233,1990,10,-111.9295,40.6408,-73.9702,40.7184,NA
"57","Denver, CO","Chicago, IL","Silver",27,"Male",1,2007,12,-0.6,"Business travel",0,34,20,"Eco",4,"3/4/14","OU","Oursin Airlines Inc.","Illinois","Colorado",17,9,3,"No",128,888,9,-87.8954,41.8271,-104.9551,39.7108,NA
"58","Houston, TX","Pittsburgh, PA","Blue",50,"Male",1,2003,10,-0.3333,"Business travel",4,0,20,"Eco",27,"2/27/14","EV","FlyFast Airways Inc.","Pennsylvania","Texas",11,0,0,"No",167,1117,7,-79.951,40.457,-95.3935,29.7843,NA
"59","Baltimore, MD","Oklahoma City, OK","Blue",31,"Male",1,2007,8,0.0588,"Business travel",3,0,90,"Eco",31,"1/31/14","WN","Cheapseats Airlines Inc.","Oklahoma","Maryland",10,4,0,"No",133,1180,10,-97.5243,35.5048,-76.6478,39.2341,NA
"60","Syracuse, NY","Chicago, IL","Blue",50,"Female",1,2005,14,-0.4,"Business travel",0,0,105,"Eco",18,"2/18/14","EV","FlyFast Airways Inc.","Illinois","New York",13,74,65,"No",76,607,4,-87.8954,41.8271,-76.164,43.0904,NA
"61","Baltimore, MD","Atlanta, GA","Blue",68,"Female",1,2012,27,-0.7419,"Business travel",0,10,15,"Eco",31,"1/31/14","DL","Sigma Airlines Inc.","Georgia","Maryland",17,8,0,"No",72,577,9,-84.3319,33.8241,-76.6478,39.2341,NA
"62","Miami, FL","New York, NY","Silver",51,"Male",1,2009,34,-0.6585,"Business travel",0,0,30,"Eco",22,"3/22/14","AA","Paul Smith Airlines Inc.","New York","Florida",15,0,0,"No",156,1096,8,-73.9702,40.7184,-80.2314,26.1756,NA
"63","Chicago, IL","Memphis, TN","Blue",55,"Female",2,2009,8,-0.4545,"Personal Travel",0,175,20,"Eco",27,"3/27/14","MQ","EnjoyFlying Air Services","Tennessee","Illinois",19,36,30,"No",79,491,4,-89.9179,35.0951,-87.8954,41.8271,NA
"64","Denver, CO","Sacramento, CA","Blue",61,"Female",2,2005,55,-0.6923,"Personal Travel",0,0,15,"Eco",1,"2/1/14","OO","Northwest Business Airlines Inc.","California","Colorado",10,66,62,"No",124,909,8,-121.3247,38.6386,-104.9551,39.7108,NA
"65","New York, NY","Las Vegas, NV","Blue",40,"Male",1,2003,22,-0.6923,"Business travel",3,5,45,"Eco",1,"1/1/14","AA","Paul Smith Airlines Inc.","Nevada","New York",10,11,0,"No",245,2248,9,-115.1672,36.1349,-73.9702,40.7184,NA
"66","Las Vegas, NV","New Orleans, LA","Blue",56,"Male",1,2005,11,-0.6923,"Business travel",0,0,145,"Eco",21,"2/21/14","WN","Cheapseats Airlines Inc.","Louisiana","Nevada",16,0,9,"No",232,1500,9,-90.1437,29.9547,-115.1672,36.1349,NA
"67","Las Vegas, NV","Fresno, CA","Blue",56,"Female",1,2004,7,-0.0769,"Business travel",0,0,90,"Business",5,"1/5/14","OO","Northwest Business Airlines Inc.","California","Nevada",19,6,4,"No",63,259,9,-119.7611,36.7878,-115.1672,36.1349,NA
"68","Houston, TX","Tulsa, OK","Blue",67,"Female",1,2009,29,-0.5676,"Personal Travel",0,5,30,"Eco",14,"3/14/14","EV","FlyFast Airways Inc.","Oklahoma","Texas",7,113,102,"No",70,429,3,-95.9013,36.1054,-95.3935,29.7843,NA
"69","Indianapolis, IN","Phoenix, AZ","Blue",28,"Female",1,2005,22,-0.4194,"Personal Travel",3,150,45,"Eco",28,"3/28/14","US","Southeast Airlines Co.","Arizona","Indiana",23,0,0,"No",167,1488,4,-111.97,33.4941,-86.1455,39.8113,NA
"70","Los Angeles, CA","Tucson, AZ","Blue",21,"Male",1,2003,2,-0.3333,"Business travel",0,0,25,"Eco",13,"3/13/14","WN","Cheapseats Airlines Inc.","Arizona","California",6,0,0,"No",70,451,9,-110.9461,32.2549,-118.1043,33.9827,NA
"71","Denver, CO","Chicago, IL","Blue",50,"Female",2,2011,43,-0.3438,"Personal Travel",2,20,30,"Eco",2,"2/2/14","OU","Oursin Airlines Inc.","Illinois","Colorado",15,1,6,"No",131,888,4,-87.8954,41.8271,-104.9551,39.7108,NA
"72","San Francisco, CA","Orlando, FL","Blue",50,"Male",1,2008,13,-0.1304,"Business travel",0,20,30,"Eco",17,"2/17/14","OU","Oursin Airlines Inc.","Florida","California",18,18,29,"No",350,2446,9,-81.4112,28.5844,-122.1585,37.6712,NA
"73","Amarillo, TX","Dallas, TX","Blue",29,"Male",0,2009,0,1,"Business travel",0,0,10,"Eco",24,"2/24/14","WN","Cheapseats Airlines Inc.","Texas","Texas",13,4,2,"No",56,323,7,-96.972,32.8127,-101.8491,35.1975,NA
"74","Orlando, FL","Atlanta, GA","Blue",69,"Male",1,2012,10,-0.25,"Business travel",0,0,35,"Eco Plus",3,"2/3/14","DL","Sigma Airlines Inc.","Georgia","Florida",8,0,0,"No",58,404,9,-84.3319,33.8241,-81.4112,28.5844,NA
"75","Phoenix, AZ","Las Vegas, NV","Blue",39,"Male",2,2006,43,-0.1622,"Personal Travel",2,0,75,"Eco",9,"1/9/14","WN","Cheapseats Airlines Inc.","Nevada","Arizona",16,32,31,"No",49,255,2,-115.1672,36.1349,-111.97,33.4941,NA
"76","San Francisco, CA","New York, NY","Silver",45,"Female",2,2005,6,0.5862,"Business travel",1,0,180,"Eco Plus",23,"1/23/14","VX","Cool&Young Airlines Inc.","New York","California",7,10,0,"No",349,2586,10,-73.9702,40.7184,-122.1585,37.6712,NA
"77","Seattle, WA","Chicago, IL","Blue",66,"Female",1,2005,19,-0.3571,"Personal Travel",0,30,90,"Eco Plus",13,"2/13/14","OU","Oursin Airlines Inc.","Illinois","Washington",9,1,1,"No",255,1721,8,-87.8954,41.8271,-122.2747,47.4684,NA
"78","Los Angeles, CA","Reno, NV","Blue",59,"Female",1,2005,6,0,"Business travel",0,10,80,"Eco",9,"2/9/14","OO","Northwest Business Airlines Inc.","Nevada","California",16,0,0,"No",68,391,8,-119.7959,39.5326,-118.1043,33.9827,NA
"79","Charleston, SC","Chicago, IL","Silver",62,"Female",1,2007,43,-0.72,"Business travel",0,0,70,"Eco",14,"3/14/14","WN","Cheapseats Airlines Inc.","Illinois","South Carolina",16,20,12,"No",90,745,10,-87.8954,41.8271,-80.0155,32.9023,NA
"80","Washington, DC","Chicago, IL","Blue",47,"Female",1,2008,20,-0.3333,"Personal Travel",2,60,110,"Eco",16,"3/16/14","OU","Oursin Airlines Inc.","Illinois","Virginia",13,9,10,"No",88,589,4,-87.8954,41.8271,-77.1897,38.8974,NA
"81","Indianapolis, IN","Salt Lake City, UT","Blue",56,"Male",1,2003,9,-0.125,"Business travel",1,0,35,"Eco",7,"1/7/14","DL","Sigma Airlines Inc.","Utah","Indiana",17,20,39,"No",159,1355,8,-111.9295,40.6408,-86.1455,39.8113,NA
"82","Richmond, VA","Atlanta, GA","Blue",65,"Female",2,2012,16,-0.28,"Personal Travel",0,0,107,"Business",18,"2/18/14","DL","Sigma Airlines Inc.","Georgia","Virginia",21,0,0,"No",64,481,3,-84.3319,33.8241,-77.488,37.4779,NA
"83","Houston, TX","Charlotte, NC","Gold",52,"Female",2,2006,8,0.1111,"Business travel",0,0,15,"Eco",24,"2/24/14","EV","FlyFast Airways Inc.","North Carolina","Texas",11,0,4,"No",163,912,7,-80.8158,35.2497,-95.3935,29.7843,NA
"84","Corpus Christi, TX","Houston, TX","Blue",41,"Female",1,2012,26,-0.5294,"Personal Travel",2,0,40,"Eco",8,"3/8/14","EV","FlyFast Airways Inc.","Texas","Texas",11,23,20,"No",42,201,1,-95.3935,29.7843,-97.4126,27.7453,NA
"85","Tampa, FL","Providence, RI","Silver",60,"Male",1,2011,2,0.5,"Business travel",1,0,105,"Business",14,"3/14/14","WN","Cheapseats Airlines Inc.","Rhode Island","Florida",6,0,0,"No",166,1136,9,-71.3974,41.7763,-82.5132,28.0062,NA
"86","Chicago, IL","Harrisburg, PA","Blue",23,"Male",1,2005,23,-0.5333,"Business travel",0,60,70,"Eco",17,"1/17/14","MQ","EnjoyFlying Air Services","Pennsylvania","Illinois",7,0,0,"No",93,594,9,-76.8662,40.2456,-87.8954,41.8271,NA
"87","St. Louis, MO","Tampa, FL","Blue",48,"Female",1,2009,4,0.619,"Business travel",1,0,5,"Eco",26,"2/26/14","WN","Cheapseats Airlines Inc.","Florida","Missouri",10,1,0,"No",136,869,6,-82.5132,28.0062,-90.3409,38.6307,NA
"88","Phoenix, AZ","St. Louis, MO","Blue",67,"Female",1,2006,33,-0.6098,"Personal Travel",0,45,10,"Eco",23,"1/23/14","WN","Cheapseats Airlines Inc.","Missouri","Arizona",17,8,3,"No",189,1262,7,-90.3409,38.6307,-111.97,33.4941,NA
"89","Baltimore, MD","Albany, NY","Silver",30,"Male",1,2006,15,0.0909,"Business travel",1,90,240,"Eco",12,"1/12/14","WN","Cheapseats Airlines Inc.","New York","Maryland",15,17,6,"No",57,289,9,-73.7994,42.7439,-76.6478,39.2341,NA
"90","Denver, CO","San Francisco, CA","Silver",31,"Female",2,2011,17,0.1282,"Mileage tickets",1,0,7,"Eco Plus",21,"3/21/14","OU","Oursin Airlines Inc.","California","Colorado",9,0,1,"No",119,967,8,-122.1585,37.6712,-104.9551,39.7108,NA
"91","Phoenix, AZ","Washington, DC","Gold",42,"Male",1,2008,17,-0.2593,"Business travel",2,30,50,"Eco",26,"1/26/14","US","Southeast Airlines Co.","Virginia","Arizona",17,72,47,"No",271,1979,10,-77.1897,38.8974,-111.97,33.4941,NA
"92","Boston, MA","Orlando, FL","Blue",22,"Female",1,2006,17,0.1905,"Mileage tickets",2,445,0,"Eco",28,"3/28/14","B6","OnlyJets Airlines Inc.","Florida","Massachusetts",11,0,0,"No",155,1121,8,-81.4112,28.5844,-71.1407,42.3731,NA
"93","Orlando, FL","Atlanta, GA","Gold",37,"Male",2,2006,17,-0.36,"Business travel",2,120,20,"Eco",19,"1/19/14","DL","Sigma Airlines Inc.","Georgia","Florida",8,0,0,"No",56,404,8,-84.3319,33.8241,-81.4112,28.5844,NA
"94","Pittsburgh, PA","Minneapolis, MN","Blue",28,"Female",2,2009,15,-0.3636,"Business travel",2,20,20,"Eco",6,"3/6/14","DL","Sigma Airlines Inc.","Minnesota","Pennsylvania",19,0,0,"No",90,726,7,-93.2798,44.9782,-79.951,40.457,NA
"95","Salt Lake City, UT","Atlanta, GA","Blue",41,"Male",2,2007,27,-0.8,"Personal Travel",0,0,10,"Eco",4,"3/4/14","DL","Sigma Airlines Inc.","Georgia","Utah",8,2,0,"No",227,1590,9,-84.3319,33.8241,-111.9295,40.6408,NA
"96","Salt Lake City, UT","Phoenix, AZ","Silver",50,"Female",1,2005,10,0,"Business travel",1,0,70,"Business",19,"3/19/14","WN","Cheapseats Airlines Inc.","Arizona","Utah",11,1,0,"No",77,507,9,-111.97,33.4941,-111.9295,40.6408,NA
"97","Reno, NV","Los Angeles, CA","Silver",31,"Male",1,2005,22,-0.0233,"Business travel",1,90,100,"Eco",26,"2/26/14","OO","Northwest Business Airlines Inc.","California","Nevada",14,0,0,"No",59,391,10,-118.1043,33.9827,-119.7959,39.5326,NA
"98","Los Angeles, CA","Portland, OR","Blue",78,"Female",1,2012,29,-0.7059,"Personal Travel",0,90,135,"Eco Plus",6,"1/6/14","AS","FlyToSun Airlines Inc.","Oregon","California",6,0,0,"No",114,834,5,-122.6511,45.5204,-118.1043,33.9827,NA
