Destination.City,Origin.City,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,Flights.Per.Year,Loyalty,Type.of.Travel,Total.Freq.Flyer.Accts,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Partner.Code,Partner.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Likelihood.to.recommend,olong,olat,dlong,dlat
Las Vegas,San Francisco,Blue,38,Male,1,2008,17,-0.4783,Mileage tickets,2,0,70,Eco,15,1/15/14,OU,Oursin Airlines Inc.,California,Nevada,13,0,5,No,71,414,9,-122.1585,37.6712,-115.1672,36.1349
Orlando,New York,Blue,61,Female,1,2003,24,-0.92,Personal Travel,0,15,120,Eco,13,2/13/14,DL,Sigma Airlines Inc.,New York,Florida,19,0,0,Yes,94,950,3,-73.9702,40.7184,-81.4112,28.5844
New York,Minneapolis,Blue,55,Male,1,2011,64,-0.7297,Personal Travel,0,0,0,Eco,26,2/26/14,DL,Sigma Airlines Inc.,Minnesota,New York,15,33,27,No,118,1020,3,-93.2798,44.9782,-73.9702,40.7184
Madison,Chicago,Blue,23,Male,2,2003,28,-0.8667,Business travel,0,0,160,Eco,19,2/19/14,EV,FlyFast Airways Inc.,Illinois,Wisconsin,13,8,13,No,48,108,5,-87.8954,41.8271,-89.4299,43.0874
Houston,Corpus Christi,Blue,48,Male,1,2003,8,-0.4545,Mileage tickets,1,0,15,Eco,14,1/14/14,WN,Cheapseats Airlines Inc.,Texas,Texas,18,1,5,No,34,187,6,-97.4126,27.7453,-95.3935,29.7843
Boston,Philadelphia,Blue,74,Female,1,2007,17,-0.5455,Personal Travel,0,0,30,Eco,25,3/25/14,US,Southeast Airlines Co.,Pennsylvania,Massachusetts,15,0,0,No,42,280,4,-75.2984,39.9733,-71.1407,42.3731
Minneapolis,Los Angeles,Silver,36,Male,1,2004,25,-0.1628,Business travel,1,140,130,Eco,20,3/20/14,DL,Sigma Airlines Inc.,California,Minnesota,18,0,0,No,175,1535,9,-118.1043,33.9827,-93.2798,44.9782
Seattle,Salt Lake City,Silver,29,Male,2,2003,11,-0.4667,Business travel,0,75,60,Eco,3,01-03-14,DL,Sigma Airlines Inc.,Utah,Washington,11,11,18,No,113,689,7,-111.9295,40.6408,-122.2747,47.4684
San Francisco,Los Angeles,Silver,28,Female,1,2010,12,0.5636,Personal Travel,2,1,120,Eco,16,2/16/14,WN,Cheapseats Airlines Inc.,California,California,9,0,0,No,56,337,9,-118.1043,33.9827,-122.1585,37.6712
Miami,Los Angeles,Blue,15,Male,2,2005,15,-0.3636,Business travel,1,0,5,Eco,27,2/27/14,AA,Paul Smith Airlines Inc.,California,Florida,11,0,0,No,233,2342,8,-118.1043,33.9827,-80.2314,26.1756
Las Vegas,New York,Blue,69,Female,1,2003,26,-0.6774,Personal Travel,0,0,30,Eco,31,1/31/14,AA,Paul Smith Airlines Inc.,New York,Nevada,6,0,38,No,361,2248,3,-73.9702,40.7184,-115.1672,36.1349
Memphis,Los Angeles,Blue,63,Male,1,2003,15,-0.5789,Personal Travel,0,30,60,Eco,6,02-06-14,DL,Sigma Airlines Inc.,California,Tennessee,11,42,14,No,169,1619,2,-118.1043,33.9827,-89.9179,35.0951
Miami,Boston,Blue,29,Female,1,2009,5,0.7436,Personal Travel,3,0,70,Eco,2,01-02-14,AA,Paul Smith Airlines Inc.,Massachusetts,Florida,11,111,158,No,198,1258,4,-71.1407,42.3731,-80.2314,26.1756
Los Angeles,Minneapolis,Blue,80,Female,2,2003,31,-0.5122,Personal Travel,0,0,100,Eco,26,2/26/14,DL,Sigma Airlines Inc.,Minnesota,California,21,11,0,No,203,1535,8,-93.2798,44.9782,-118.1043,33.9827
Phoenix,Denver,Blue,44,Female,1,2003,10,-0.0526,Business travel,1,0,65,Eco,10,02-10-14,OU,Oursin Airlines Inc.,Colorado,Arizona,11,5,4,No,88,602,10,-104.9551,39.7108,-111.97,33.4941
Houston,Salt Lake City,Blue,49,Male,1,2006,18,-0.8,Business travel,1,55,70,Eco,6,03-06-14,OO,Northwest Business Airlines Inc.,Utah,Texas,9,18,13,No,146,1195,10,-111.9295,40.6408,-95.3935,29.7843
Hartford,Minneapolis,Blue,57,Male,1,2005,65,-0.831,Personal Travel,0,0,35,Eco,18,2/18/14,DL,Sigma Airlines Inc.,Minnesota,Connecticut,19,0,0,No,119,1050,3,-93.2798,44.9782,-72.6988,41.7401
Charlotte,New York,Blue,31,Female,1,2003,32,-0.4545,Personal Travel,1,50,0,Eco,10,01-10-14,US,Southeast Airlines Co.,New York,North Carolina,6,0,0,No,103,541,6,-73.9702,40.7184,-80.8158,35.2497
Lincoln,Denver,Blue,18,Male,1,2005,60,-0.791,Business travel,0,0,40,Eco,24,2/24/14,EV,FlyFast Airways Inc.,Colorado,Nebraska,9,10,10,No,56,423,5,-104.9551,39.7108,-96.6804,40.8071
Dothan,Atlanta,Blue,34,Female,2,2011,8,-0.7778,Business travel,0,0,0,Eco Plus,18,3/18/14,EV,FlyFast Airways Inc.,Georgia,Alabama,19,0,0,No,34,170,4,-84.3319,33.8241,-85.4251,31.2237
New York,New Orleans,Blue,48,Male,1,2003,73,-0.8718,Business travel,1,0,0,Eco,23,1/23/14,B6,OnlyJets Airlines Inc.,Louisiana,New York,10,11,5,No,138,1182,8,-90.1437,29.9547,-73.9702,40.7184
New York,Charlotte,Blue,40,Male,3,2003,17,-0.5455,Mileage tickets,0,90,15,Eco,28,2/28/14,US,Southeast Airlines Co.,North Carolina,New York,11,0,0,No,76,541,9,-80.8158,35.2497,-73.9702,40.7184
Des Moines,Las Vegas,Blue,50,Male,1,2009,13,-0.4444,Business travel,0,15,40,Eco,19,1/19/14,WN,Cheapseats Airlines Inc.,Nevada,Iowa,12,15,0,No,145,1216,8,-115.1672,36.1349,-93.6561,41.6194
Minneapolis,Cincinnati,Blue,30,Female,1,2005,25,-0.1905,Business travel,1,90,0,Business,13,3/13/14,OO,Northwest Business Airlines Inc.,Kentucky,Minnesota,17,0,8,No,114,596,8,-84.462,39.1855,-93.2798,44.9782
Phoenix,Los Angeles,Blue,52,Female,2,2007,14,-0.2727,Business travel,0,0,155,Eco Plus,4,02-04-14,WN,Cheapseats Airlines Inc.,California,Arizona,16,0,0,No,58,370,9,-118.1043,33.9827,-111.97,33.4941
Dallas,New Orleans,Blue,53,Female,2,2008,13,-0.1304,Mileage tickets,0,60,60,Eco,14,2/14/14,WN,Cheapseats Airlines Inc.,Louisiana,Texas,20,0,0,No,69,436,8,-90.1437,29.9547,-96.972,32.8127
Memphis,Houston,Silver,53,Male,2,2007,27,-0.4595,Personal Travel,0,30,40,Eco,10,01-10-14,EV,FlyFast Airways Inc.,Texas,Tennessee,14,0,0,No,64,468,4,-95.3935,29.7843,-89.9179,35.0951
San Francisco,Denver,Blue,54,Male,2,2012,12,-0.2632,Business travel,1,120,30,Eco,27,1/27/14,WN,Cheapseats Airlines Inc.,Colorado,California,12,29,44,No,133,967,9,-104.9551,39.7108,-122.1585,37.6712
Denver,St. Louis,Silver,61,Female,1,2012,12,-0.1429,Personal Travel,0,120,120,Eco,3,02-03-14,WN,Cheapseats Airlines Inc.,Missouri,Colorado,6,0,7,No,125,770,8,-90.3409,38.6307,-104.9551,39.7108
Tampa,Detroit,Blue,44,Male,1,2011,12,0.1724,Business travel,1,0,0,Eco,1,03-01-14,DL,Sigma Airlines Inc.,Michigan,Florida,20,2,48,No,123,983,8,-83.2276,42.49,-82.5132,28.0062
Dallas,New Orleans,Blue,54,Female,2,2003,30,-0.5789,Business travel,0,0,20,Eco Plus,9,02-09-14,WN,Cheapseats Airlines Inc.,Louisiana,Texas,9,0,0,No,70,436,8,-90.1437,29.9547,-96.972,32.8127
Salt Lake City,Anchorage,Blue,68,Female,2,2003,36,-0.7143,Personal Travel,0,0,20,Eco Plus,10,03-10-14,DL,Sigma Airlines Inc.,Alaska,Utah,5,0,0,No,247,2125,6,-149.8472,61.1679,-111.9295,40.6408
Santa Barbara,Los Angeles,Blue,53,Female,1,2006,9,-0.3846,Business travel,0,0,45,Eco,12,01-12-14,OO,Northwest Business Airlines Inc.,California,California,12,0,0,No,22,89,7,-118.1043,33.9827,-119.7241,34.4275
Chattanooga,Atlanta,Silver,36,Male,1,2004,17,-0.1333,Business travel,1,20,130,Eco,4,01-04-14,EV,FlyFast Airways Inc.,Georgia,Tennessee,11,89,84,No,27,106,9,-84.3319,33.8241,-85.2104,35.0585
Denver,Atlanta,Silver,35,Female,1,2006,18,-0.2414,Personal Travel,1,100,70,Eco,20,2/20/14,DL,Sigma Airlines Inc.,Georgia,Colorado,12,0,0,No,168,1199,7,-84.3319,33.8241,-104.9551,39.7108
Atlanta,San Francisco,Blue,76,Male,1,2012,26,-0.8571,Personal Travel,0,0,90,Eco Plus,3,03-03-14,FL,FlyHere Airways,California,Georgia,23,17,3,No,234,2139,8,-122.1585,37.6712,-84.3319,33.8241
Houston,El Paso,Blue,36,Female,1,2009,20,-0.2121,Personal Travel,2,15,30,Eco,26,1/26/14,EV,FlyFast Airways Inc.,Texas,Texas,14,0,0,No,85,667,2,-106.389,31.7802,-95.3935,29.7843
Sioux Falls,Chicago,Blue,16,Male,2,2012,7,0.1765,Personal Travel,3,0,70,Eco,22,2/22/14,OO,Northwest Business Airlines Inc.,Illinois,South Dakota,9,20,27,No,82,462,5,-87.8954,41.8271,-96.7356,43.5335
New York,Salt Lake City,Platinum,39,Male,2,2012,4,0.7419,Business travel,2,240,120,Eco,2,01-02-14,DL,Sigma Airlines Inc.,Utah,New York,8,5,0,No,233,1990,10,-111.9295,40.6408,-73.9702,40.7184
Denver,Chicago,Silver,27,Male,1,2007,12,-0.6,Business travel,0,34,20,Eco,4,03-04-14,OU,Oursin Airlines Inc.,Illinois,Colorado,17,9,3,No,128,888,9,-87.8954,41.8271,-104.9551,39.7108
Houston,Pittsburgh,Blue,50,Male,1,2003,10,-0.3333,Business travel,4,0,20,Eco,27,2/27/14,EV,FlyFast Airways Inc.,Pennsylvania,Texas,11,0,0,No,167,1117,7,-79.951,40.457,-95.3935,29.7843
Baltimore,Oklahoma City,Blue,31,Male,1,2007,8,0.0588,Business travel,3,0,90,Eco,31,1/31/14,WN,Cheapseats Airlines Inc.,Oklahoma,Maryland,10,4,0,No,133,1180,10,-97.5243,35.5048,-76.6478,39.2341
Syracuse,Chicago,Blue,50,Female,1,2005,14,-0.4,Business travel,0,0,105,Eco,18,2/18/14,EV,FlyFast Airways Inc.,Illinois,New York,13,74,65,No,76,607,4,-87.8954,41.8271,-76.164,43.0904
Baltimore,Atlanta,Blue,68,Female,1,2012,27,-0.7419,Business travel,0,10,15,Eco,31,1/31/14,DL,Sigma Airlines Inc.,Georgia,Maryland,17,8,0,No,72,577,9,-84.3319,33.8241,-76.6478,39.2341
Miami,New York,Silver,51,Male,1,2009,34,-0.6585,Business travel,0,0,30,Eco,22,3/22/14,AA,Paul Smith Airlines Inc.,New York,Florida,15,0,0,No,156,1096,8,-73.9702,40.7184,-80.2314,26.1756
Chicago,Memphis,Blue,55,Female,2,2009,8,-0.4545,Personal Travel,0,175,20,Eco,27,3/27/14,MQ,EnjoyFlying Air Services,Tennessee,Illinois,19,36,30,No,79,491,4,-89.9179,35.0951,-87.8954,41.8271
Denver,Sacramento,Blue,61,Female,2,2005,55,-0.6923,Personal Travel,0,0,15,Eco,1,02-01-14,OO,Northwest Business Airlines Inc.,California,Colorado,10,66,62,No,124,909,8,-121.3247,38.6386,-104.9551,39.7108
New York,Las Vegas,Blue,40,Male,1,2003,22,-0.6923,Business travel,3,5,45,Eco,1,01-01-14,AA,Paul Smith Airlines Inc.,Nevada,New York,10,11,0,No,245,2248,9,-115.1672,36.1349,-73.9702,40.7184
Las Vegas,New Orleans,Blue,56,Male,1,2005,11,-0.6923,Business travel,0,0,145,Eco,21,2/21/14,WN,Cheapseats Airlines Inc.,Louisiana,Nevada,16,0,9,No,232,1500,9,-90.1437,29.9547,-115.1672,36.1349
Las Vegas,Fresno,Blue,56,Female,1,2004,7,-0.0769,Business travel,0,0,90,Business,5,01-05-14,OO,Northwest Business Airlines Inc.,California,Nevada,19,6,4,No,63,259,9,-119.7611,36.7878,-115.1672,36.1349
Houston,Tulsa,Blue,67,Female,1,2009,29,-0.5676,Personal Travel,0,5,30,Eco,14,3/14/14,EV,FlyFast Airways Inc.,Oklahoma,Texas,7,113,102,No,70,429,3,-95.9013,36.1054,-95.3935,29.7843
Indianapolis,Phoenix,Blue,28,Female,1,2005,22,-0.4194,Personal Travel,3,150,45,Eco,28,3/28/14,US,Southeast Airlines Co.,Arizona,Indiana,23,0,0,No,167,1488,4,-111.97,33.4941,-86.1455,39.8113
Los Angeles,Tucson,Blue,21,Male,1,2003,2,-0.3333,Business travel,0,0,25,Eco,13,3/13/14,WN,Cheapseats Airlines Inc.,Arizona,California,6,0,0,No,70,451,9,-110.9461,32.2549,-118.1043,33.9827
Denver,Chicago,Blue,50,Female,2,2011,43,-0.3438,Personal Travel,2,20,30,Eco,2,02-02-14,OU,Oursin Airlines Inc.,Illinois,Colorado,15,1,6,No,131,888,4,-87.8954,41.8271,-104.9551,39.7108
San Francisco,Orlando,Blue,50,Male,1,2008,13,-0.1304,Business travel,0,20,30,Eco,17,2/17/14,OU,Oursin Airlines Inc.,Florida,California,18,18,29,No,350,2446,9,-81.4112,28.5844,-122.1585,37.6712
Amarillo,Dallas,Blue,29,Male,0,2009,0,1,Business travel,0,0,10,Eco,24,2/24/14,WN,Cheapseats Airlines Inc.,Texas,Texas,13,4,2,No,56,323,7,-96.972,32.8127,-101.8491,35.1975
Orlando,Atlanta,Blue,69,Male,1,2012,10,-0.25,Business travel,0,0,35,Eco Plus,3,02-03-14,DL,Sigma Airlines Inc.,Georgia,Florida,8,0,0,No,58,404,9,-84.3319,33.8241,-81.4112,28.5844
Phoenix,Las Vegas,Blue,39,Male,2,2006,43,-0.1622,Personal Travel,2,0,75,Eco,9,01-09-14,WN,Cheapseats Airlines Inc.,Nevada,Arizona,16,32,31,No,49,255,2,-115.1672,36.1349,-111.97,33.4941
San Francisco,New York,Silver,45,Female,2,2005,6,0.5862,Business travel,1,0,180,Eco Plus,23,1/23/14,VX,Cool&Young Airlines Inc.,New York,California,7,10,0,No,349,2586,10,-73.9702,40.7184,-122.1585,37.6712
Seattle,Chicago,Blue,66,Female,1,2005,19,-0.3571,Personal Travel,0,30,90,Eco Plus,13,2/13/14,OU,Oursin Airlines Inc.,Illinois,Washington,9,1,1,No,255,1721,8,-87.8954,41.8271,-122.2747,47.4684
Los Angeles,Reno,Blue,59,Female,1,2005,6,0,Business travel,0,10,80,Eco,9,02-09-14,OO,Northwest Business Airlines Inc.,Nevada,California,16,0,0,No,68,391,8,-119.7959,39.5326,-118.1043,33.9827
Charleston,Chicago,Silver,62,Female,1,2007,43,-0.72,Business travel,0,0,70,Eco,14,3/14/14,WN,Cheapseats Airlines Inc.,Illinois,South Carolina,16,20,12,No,90,745,10,-87.8954,41.8271,-80.0155,32.9023
Washington,Chicago,Blue,47,Female,1,2008,20,-0.3333,Personal Travel,2,60,110,Eco,16,3/16/14,OU,Oursin Airlines Inc.,Illinois,Virginia,13,9,10,No,88,589,4,-87.8954,41.8271,-77.1897,38.8974
Indianapolis,Salt Lake City,Blue,56,Male,1,2003,9,-0.125,Business travel,1,0,35,Eco,7,01-07-14,DL,Sigma Airlines Inc.,Utah,Indiana,17,20,39,No,159,1355,8,-111.9295,40.6408,-86.1455,39.8113
Richmond,Atlanta,Blue,65,Female,2,2012,16,-0.28,Personal Travel,0,0,107,Business,18,2/18/14,DL,Sigma Airlines Inc.,Georgia,Virginia,21,0,0,No,64,481,3,-84.3319,33.8241,-77.488,37.4779
Houston,Charlotte,Gold,52,Female,2,2006,8,0.1111,Business travel,0,0,15,Eco,24,2/24/14,EV,FlyFast Airways Inc.,North Carolina,Texas,11,0,4,No,163,912,7,-80.8158,35.2497,-95.3935,29.7843
Corpus Christi,Houston,Blue,41,Female,1,2012,26,-0.5294,Personal Travel,2,0,40,Eco,8,03-08-14,EV,FlyFast Airways Inc.,Texas,Texas,11,23,20,No,42,201,1,-95.3935,29.7843,-97.4126,27.7453
Tampa,Providence,Silver,60,Male,1,2011,2,0.5,Business travel,1,0,105,Business,14,3/14/14,WN,Cheapseats Airlines Inc.,Rhode Island,Florida,6,0,0,No,166,1136,9,-71.3974,41.7763,-82.5132,28.0062
Chicago,Harrisburg,Blue,23,Male,1,2005,23,-0.5333,Business travel,0,60,70,Eco,17,1/17/14,MQ,EnjoyFlying Air Services,Pennsylvania,Illinois,7,0,0,No,93,594,9,-76.8662,40.2456,-87.8954,41.8271
St. Louis,Tampa,Blue,48,Female,1,2009,4,0.619,Business travel,1,0,5,Eco,26,2/26/14,WN,Cheapseats Airlines Inc.,Florida,Missouri,10,1,0,No,136,869,6,-82.5132,28.0062,-90.3409,38.6307
Phoenix,St. Louis,Blue,67,Female,1,2006,33,-0.6098,Personal Travel,0,45,10,Eco,23,1/23/14,WN,Cheapseats Airlines Inc.,Missouri,Arizona,17,8,3,No,189,1262,7,-90.3409,38.6307,-111.97,33.4941
Baltimore,Albany,Silver,30,Male,1,2006,15,0.0909,Business travel,1,90,240,Eco,12,01-12-14,WN,Cheapseats Airlines Inc.,New York,Maryland,15,17,6,No,57,289,9,-73.7994,42.7439,-76.6478,39.2341
Denver,San Francisco,Silver,31,Female,2,2011,17,0.1282,Mileage tickets,1,0,7,Eco Plus,21,3/21/14,OU,Oursin Airlines Inc.,California,Colorado,9,0,1,No,119,967,8,-122.1585,37.6712,-104.9551,39.7108
Phoenix,Washington,Gold,42,Male,1,2008,17,-0.2593,Business travel,2,30,50,Eco,26,1/26/14,US,Southeast Airlines Co.,Virginia,Arizona,17,72,47,No,271,1979,10,-77.1897,38.8974,-111.97,33.4941
Boston,Orlando,Blue,22,Female,1,2006,17,0.1905,Mileage tickets,2,445,0,Eco,28,3/28/14,B6,OnlyJets Airlines Inc.,Florida,Massachusetts,11,0,0,No,155,1121,8,-81.4112,28.5844,-71.1407,42.3731
Orlando,Atlanta,Gold,37,Male,2,2006,17,-0.36,Business travel,2,120,20,Eco,19,1/19/14,DL,Sigma Airlines Inc.,Georgia,Florida,8,0,0,No,56,404,8,-84.3319,33.8241,-81.4112,28.5844
Pittsburgh,Minneapolis,Blue,28,Female,2,2009,15,-0.3636,Business travel,2,20,20,Eco,6,03-06-14,DL,Sigma Airlines Inc.,Minnesota,Pennsylvania,19,0,0,No,90,726,7,-93.2798,44.9782,-79.951,40.457
Salt Lake City,Atlanta,Blue,41,Male,2,2007,27,-0.8,Personal Travel,0,0,10,Eco,4,03-04-14,DL,Sigma Airlines Inc.,Georgia,Utah,8,2,0,No,227,1590,9,-84.3319,33.8241,-111.9295,40.6408
Salt Lake City,Phoenix,Silver,50,Female,1,2005,10,0,Business travel,1,0,70,Business,19,3/19/14,WN,Cheapseats Airlines Inc.,Arizona,Utah,11,1,0,No,77,507,9,-111.97,33.4941,-111.9295,40.6408
Reno,Los Angeles,Silver,31,Male,1,2005,22,-0.0233,Business travel,1,90,100,Eco,26,2/26/14,OO,Northwest Business Airlines Inc.,California,Nevada,14,0,0,No,59,391,10,-118.1043,33.9827,-119.7959,39.5326
Los Angeles,Portland,Blue,78,Female,1,2012,29,-0.7059,Personal Travel,0,90,135,Eco Plus,6,01-06-14,AS,FlyToSun Airlines Inc.,Oregon,California,6,0,0,No,114,834,5,-122.6511,45.5204,-118.1043,33.9827
Sacramento,Phoenix,Blue,59,Male,1,2004,28,-0.6,Business travel,0,0,70,Business,7,03-07-14,WN,Cheapseats Airlines Inc.,Arizona,California,18,1,0,No,107,647,9,-111.97,33.4941,-121.3247,38.6386
Providence,Washington,Blue,38,Female,1,2003,17,0,Personal Travel,3,60,95,Eco,9,03-09-14,EV,FlyFast Airways Inc.,Virginia,Rhode Island,18,13,11,No,60,372,3,-77.1897,38.8974,-71.3974,41.7763
St. Louis,Chicago,Blue,28,Female,1,2003,25,0.0196,Personal Travel,2,0,70,Eco,10,01-10-14,WN,Cheapseats Airlines Inc.,Illinois,Missouri,7,0,0,Yes,94,251,4,-87.8954,41.8271,-90.3409,38.6307
Buffalo,Charlotte,Silver,56,Female,1,2007,4,-0.3333,Business travel,0,0,40,Eco,23,2/23/14,US,Southeast Airlines Co.,North Carolina,New York,16,55,42,No,76,546,9,-80.8158,35.2497,-78.8237,42.9249
Houston,Denver,Silver,80,Male,2,2011,46,-0.8039,Personal Travel,0,0,90,Eco,28,1/28/14,WN,Cheapseats Airlines Inc.,Colorado,Texas,14,12,0,No,106,883,9,-104.9551,39.7108,-95.3935,29.7843
Austin,Baltimore,Blue,46,Male,1,2003,68,-0.8889,Business travel,0,10,50,Eco,13,2/13/14,WN,Cheapseats Airlines Inc.,Maryland,Texas,9,0,0,Yes,94,1342,7,-76.6478,39.2341,-97.7615,30.3585
Salt Lake City,Sacramento,Blue,25,Female,1,2003,14,0.3636,Personal Travel,1,0,60,Eco,12,03-12-14,DL,Sigma Airlines Inc.,California,Utah,6,0,7,No,83,532,4,-121.3247,38.6386,-111.9295,40.6408
Houston,Orlando,Blue,33,Female,2,2010,22,-0.8333,Business travel,1,0,40,Eco,2,03-02-14,OU,Oursin Airlines Inc.,Florida,Texas,15,0,0,Yes,94,854,8,-81.4112,28.5844,-95.3935,29.7843
Miami,Washington,Blue,56,Female,1,2008,12,-0.0909,Business travel,0,60,40,Eco,6,03-06-14,AA,Paul Smith Airlines Inc.,Virginia,Florida,6,0,8,No,146,919,7,-77.1897,38.8974,-80.2314,26.1756
Denver,Houston,Silver,52,Female,1,2011,16,-0.3333,Personal Travel,1,20,40,Eco,25,3/25/14,OU,Oursin Airlines Inc.,Texas,Colorado,21,1,0,No,117,862,5,-95.3935,29.7843,-104.9551,39.7108
Tucson,Chicago,Platinum,33,Male,1,2012,21,-0.68,Business travel,0,0,60,Eco Plus,2,01-02-14,WN,Cheapseats Airlines Inc.,Illinois,Arizona,8,57,105,No,189,1440,10,-87.8954,41.8271,-110.9461,32.2549
Boston,Orlando,Blue,61,Female,2,2010,22,-0.5714,Mileage tickets,0,0,20,Eco,7,02-07-14,DL,Sigma Airlines Inc.,Florida,Massachusetts,11,6,0,No,134,1121,7,-81.4112,28.5844,-71.1407,42.3731
Chicago,Cleveland,Blue,34,Male,1,2011,2,0.8621,Business travel,1,0,330,Eco Plus,5,03-05-14,OO,Northwest Business Airlines Inc.,Ohio,Illinois,20,0,0,No,61,315,8,-81.6054,41.4436,-87.8954,41.8271
Hartford,Washington,Blue,51,Female,1,2004,1,0.75,Business travel,1,0,30,Eco Plus,23,1/23/14,EV,FlyFast Airways Inc.,Virginia,Connecticut,17,15,13,No,51,326,1,-77.1897,38.8974,-72.6988,41.7401
Las Vegas,Los Angeles,Blue,52,Male,2,2012,32,-0.5238,Business travel,2,120,30,Business,25,3/25/14,AA,Paul Smith Airlines Inc.,California,Nevada,11,3,0,No,44,236,8,-118.1043,33.9827,-115.1672,36.1349
